gid	n_mu	mid	sids	tf	ttype	impact	eff	de_BM
Zm00001d022354	>=3	mu1019638|mu1035232|mu1039656|mu1039656|mu1085118	UFMu-00825|UFMu-03500|UFMu-03717|UFMu-13437|UFMu-10380	FALSE	mRNA	high	frameshift_variant	10+
Zm00001d022357	2	mu1045764|mu1060776	UFMu-05726|UFMu-07728	FALSE	mRNA	non-syntenic	5_prime_UTR_variant	10+
Zm00001d022360	2	mu1015960|mu1087035	UFMu-02305,UFMu-03625,UFMu-05299|UFMu-10674	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022364	>=3	mu1029630|mu1033732|mu1035437|mu1049320|mu1060777|mu1087036|mu1095297	UFMu-02997|UFMu-03458,UFMu-07581|UFMu-03454|UFMu-06482|UFMu-07934|UFMu-10924|UFMu-12280	FALSE	mRNA	low	splice_region_variant	1-5
Zm00001d022366	2	mu1069777|mu1088069	UFMu-08676|UFMu-11120	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022367	2	mu1023912|mu1092903	UFMu-08557|UFMu-11250	FALSE	mRNA	high	splice_donor_variant	10+
Zm00001d022369	>=3	mu1057614|mu1078388|mu1095298	UFMu-07110|UFMu-09410|UFMu-11228,UFMu-11785	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d022373	2	mu1041673|mu1041673	UFMu-04349|UFMu-10516	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d022378	2	mu1015961|mu1034523	UFMu-00790,UFMu-01388,UFMu-11442|UFMu-03460	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d022381	>=3	mu1022578|mu1060779|mu1092905	UFMu-02309|UFMu-07813|UFMu-13166	FALSE	mRNA	high	start_lost	5-10
Zm00001d022384	1	mu1057615	UFMu-07255	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d022387	>=3	mu1009078|mu1015962|mu1015962|mu1034974|mu1095299	UFMu-00153|UFMu-02547,UFMu-03160,UFMu-04795,UFMu-05314|UFMu-05607|UFMu-03313,UFMu-07595,UFMu-07838|UFMu-13047	FALSE	mRNA	high	start_lost	1-5
Zm00001d022388	1	mu1075626	UFMu-05779	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d022391	>=3	mu1015963|mu1045766|mu1060780|mu1068328|mu1069779|mu1084043|mu1095300	UFMu-02344|UFMu-05831|UFMu-08113|UFMu-02344,UFMu-08469|UFMu-08299|UFMu-10065|UFMu-11271	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022393	>=3	mu1015965|mu1015965|mu1032253|mu1039662|mu1039662|mu1069780	UFMu-00873,UFMu-04799,UFMu-06379,UFMu-06652|UFMu-09568,UFMu-10509,UFMu-11132|UFMu-02648|UFMu-03447|UFMu-04718|UFMu-02316,UFMu-03643,UFMu-04799,UFMu-08485	FALSE	mRNA	moderate	missense_variant	0
Zm00001d022394	1	mu1074051	UFMu-04313	FALSE	mRNA	moderate	disruptive_inframe_insertion	1-5
Zm00001d022395	2	mu1060781|mu1087038	UFMu-07904|UFMu-10749	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d022396	1	mu1079971	UFMu-09297,UFMu-10892,UFMu-11271	FALSE	mRNA	high	start_lost	1-5
Zm00001d022399	1	mu1021779	UFMu-01585	FALSE	mRNA	non-syntenic	NA	0
Zm00001d022400	2	mu1019968|mu1021779	UFMu-01167|UFMu-01585	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022401	>=3	mu1021256|mu1028457|mu1079972	UFMu-01346,UFMu-06477,UFMu-07419,UFMu-11354|UFMu-01116,UFMu-02729,UFMu-03150|UFMu-03150,UFMu-09100	FALSE	mRNA	high	splice_donor_variant	1-5
Zm00001d022403	1	mu1015966	UFMu-01450	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d022405	1	mu1023355	UFMu-05632	FALSE	mRNA	high	splice_donor_variant	1-5
Zm00001d022406	>=3	mu1015967|mu1035134|mu1041675|mu1081752	UFMu-06266|UFMu-03499|UFMu-04712|UFMu-09848	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d022407	>=3	mu1001573|mu1021383|mu1034386|mu1042480|mu1042480|mu1060784|mu1078389	UFMu-00059|UFMu-01283|UFMu-03491|UFMu-04805|UFMu-07767|UFMu-07767|UFMu-09292	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d022417	>=3	mu1010667|mu1010667|mu1015969|mu1015969|mu1021926|mu1032632|mu1032632|mu1032632|mu1039665|mu1071396|mu1074490	UFMu-00441,UFMu-12391|UFMu-07291|UFMu-01333|UFMu-06635|UFMu-01730,UFMu-10868|UFMu-02510|UFMu-05061|UFMu-12244|UFMu-03780|UFMu-02916|UFMu-03780	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d022418	>=3	mu1017404|mu1057618|mu1068330	UFMu-00891,UFMu-02548,UFMu-04798,UFMu-05313,UFMu-09467,UFMu-11259|UFMu-07173|UFMu-08298	FALSE	mRNA	moderate	conservative_inframe_deletion	1-5
Zm00001d022421	2	mu1045770|mu1046704	UFMu-05558|UFMu-06236	FALSE	mRNA	high	frameshift_variant	10+
Zm00001d022425	>=3	mu1015982|mu1049335|mu1068335|mu1079975|mu1081756|mu1087044	UFMu-02146|UFMu-06274|UFMu-08326|UFMu-09194|UFMu-09504|UFMu-10944	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d022427	>=3	mu1049334|mu1057628|mu1071399|mu1084047|mu1087043	UFMu-06514,UFMu-07772|UFMu-07325|UFMu-01872,UFMu-02715,UFMu-09187|UFMu-10186|UFMu-10749	FALSE	mRNA	moderate	disruptive_inframe_deletion	1-5
Zm00001d022428	>=3	mu1015981|mu1022862|mu1060795	UFMu-01915,UFMu-04230|UFMu-05290|UFMu-08159	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d022429	>=3	mu1042474|mu1057627|mu1069782|mu1081755	UFMu-04805|UFMu-07531|UFMu-08794|UFMu-09434	FALSE	mRNA	high	stop_gained	0
Zm00001d022432	>=3	mu1039676|mu1054178|mu1057625|mu1057626	UFMu-02729|UFMu-06716|UFMu-07645|UFMu-07283	FALSE	mRNA	modifier	intron_variant	5-10
Zm00001d022433	1	mu1045769	UFMu-05763	FALSE	mRNA	no_change	NA	1-5
Zm00001d022436	>=3	mu1019033|mu1057624|mu1068334	UFMu-01093,UFMu-04925|UFMu-07683|UFMu-08558	FALSE	mRNA	no_change	NA	5-10
Zm00001d022437	1	mu1092920	UFMu-12343	TRUE	mRNA	modifier	intron_variant	1-5
Zm00001d022438	2	mu1015978|mu1092918	UFMu-01245,UFMu-07612|UFMu-13240	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d022440	>=3	mu1039675|mu1057623|mu1060792	UFMu-03865|UFMu-07142|UFMu-08135	TRUE	mRNA	moderate	missense_variant	10+
Zm00001d022442	>=3	mu1049331|mu1078398|mu1088071	UFMu-05961,UFMu-07959|UFMu-08988|UFMu-10863	TRUE	mRNA	moderate	missense_variant	5-10
Zm00001d022449	>=3	mu1042476|mu1066231|mu1068332	UFMu-04999|UFMu-08782|UFMu-08566	FALSE	mRNA	no_change	NA	10+
Zm00001d022451	>=3	mu1015977|mu1057622|mu1084046	UFMu-00987,UFMu-01682,UFMu-02198|UFMu-07239|UFMu-10455	FALSE	mRNA	moderate	conservative_inframe_insertion	1-5
Zm00001d022454	1	mu1057621	UFMu-07638	FALSE	mRNA	non-syntenic	NA	10+
Zm00001d022459	1	mu1042477	UFMu-05275	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022462	1	mu1039673	UFMu-04217,UFMu-04429	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d022465	1	mu1078397	UFMu-09269	FALSE	mRNA	no_change	NA	5-10
Zm00001d022466	1	mu1085122	UFMu-10004	FALSE	mRNA	no_change	NA	1-5
Zm00001d022469	>=3	mu1007333|mu1015976|mu1039672|mu1041684|mu1078396	UFMu-00403|UFMu-01459|UFMu-03723|UFMu-04751|UFMu-09169	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d022473	1	mu1029370	UFMu-02829	FALSE	mRNA	high	splice_acceptor_variant	1-5
Zm00001d022474	1	mu1045768	UFMu-05654	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022478	1	mu1021403	UFMu-01415	FALSE	mRNA	non-syntenic	NA	5-10
Zm00001d022479	>=3	mu1017164|mu1078395|mu1092914	UFMu-00721,UFMu-01450|UFMu-09244|UFMu-11358	FALSE	mRNA	no_change	NA	0
Zm00001d022480	>=3	mu1005629|mu1018654|mu1032483|mu1035823|mu1049328|mu1054175|mu1092912|mu1092913	UFMu-00429|UFMu-00975|UFMu-02628|UFMu-03308|UFMu-06479|UFMu-06617|UFMu-11543|UFMu-11200	FALSE	mRNA	no_change	NA	1-5
Zm00001d022481	1	mu1028468	UFMu-00649	FALSE	mRNA	no_change	NA	5-10
Zm00001d022483	1	mu1057620	UFMu-07307	FALSE	mRNA	high	frameshift_variant	0
Zm00001d022485	>=3	mu1018880|mu1041682|mu1054174	UFMu-00949|UFMu-04803|UFMu-06963	FALSE	mRNA	no_change	NA	1-5
Zm00001d022489	>=3	mu1034493|mu1039671|mu1084045	UFMu-03285|UFMu-04212|UFMu-10401	FALSE	mRNA	low	splice_region_variant	1-5
Zm00001d022490	>=3	mu1041681|mu1060789|mu1078393	UFMu-04604|UFMu-07840|UFMu-09346	FALSE	mRNA	high	splice_donor_variant	1-5
Zm00001d022492	2	mu1033598|mu1054172	UFMu-03169|UFMu-06645	FALSE	mRNA	high	splice_acceptor_variant	1-5
Zm00001d022493	>=3	mu1030497|mu1039670|mu1041677|mu1041678|mu1049327|mu1060786|mu1060787|mu1075627|mu1078392	UFMu-02896|UFMu-04182|UFMu-04306|UFMu-04415|UFMu-06406|UFMu-07720|UFMu-07720|UFMu-05595|UFMu-09141	FALSE	mRNA	high	stop_gained	5-10
Zm00001d022499	2	mu1039669|mu1095303	UFMu-04160|UFMu-11247	FALSE	mRNA	low	splice_region_variant	1-5
Zm00001d022502	1	mu1049326	UFMu-06363	FALSE	mRNA	low	splice_region_variant	5-10
Zm00001d022505	1	mu1039668	UFMu-02642	FALSE	mRNA	high	stop_gained	5-10
Zm00001d022510	>=3	mu1015972|mu1049323|mu1049324|mu1049325|mu1049325|mu1060785|mu1071397|mu1085120|mu1092910	UFMu-02337|UFMu-06498|UFMu-06510|UFMu-06403|UFMu-09991|UFMu-07805|UFMu-02746|UFMu-10379|UFMu-11784	FALSE	mRNA	high	frameshift_variant	5-10
Zm00001d022512	2	mu1039666|mu1057619	UFMu-03654|UFMu-07420	FALSE	mRNA	moderate	disruptive_inframe_insertion	1-5
Zm00001d022514	>=3	mu1015970|mu1054171|mu1092909	UFMu-01809,UFMu-04505,UFMu-06928|UFMu-06774|UFMu-13994	FALSE	mRNA	non-syntenic	missense_variant	5-10
Zm00001d022518	>=3	mu1060797|mu1078400|mu1084048|mu1092922|mu1095305	UFMu-08182|UFMu-09283|UFMu-09992|UFMu-12842,UFMu-12998|UFMu-11376	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d022525	1	mu1018638	UFMu-01129	TRUE	mRNA	moderate	conservative_inframe_insertion	1-5
Zm00001d022526	1	mu1054179	UFMu-06871	TRUE	mRNA	moderate	disruptive_inframe_deletion	10+
Zm00001d022531	1	mu1060798	UFMu-07939	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022535	1	mu1057907	UFMu-07172	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d022541	1	mu1092924	UFMu-13754	FALSE	mRNA	high	splice_donor_variant	10+
Zm00001d022542	>=3	mu1015985|mu1026836|mu1031982|mu1034093|mu1085123	UFMu-00588,UFMu-01653,UFMu-03258,UFMu-03708,UFMu-04482|UFMu-08346|UFMu-02863|UFMu-03110,UFMu-04693|UFMu-10240	TRUE	mRNA	low	synonymous_variant	5-10
Zm00001d022545	2	mu1015986|mu1092928	UFMu-02208|UFMu-11331	FALSE	mRNA	high	splice_donor_variant	1-5
Zm00001d022550	>=3	mu1030417|mu1034349|mu1042471|mu1057631|mu1092926|mu1092927	UFMu-02864,UFMu-05558|UFMu-03375|UFMu-04869|UFMu-07378|UFMu-11921|UFMu-13890	TRUE	mRNA	high	splice_donor_variant	1-5
Zm00001d022551	1	mu1088073	UFMu-10992,UFMu-11274	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022554	1	mu1095306	UFMu-13849	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022558	>=3	mu1021161|mu1054184|mu1079976	UFMu-01505|UFMu-06572,UFMu-07279|UFMu-08896	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d022560	>=3	mu1060799|mu1071402|mu1071402	UFMu-07919|UFMu-02628|UFMu-13149	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d022562	1	mu1049338	UFMu-06439	FALSE	mRNA	high	frameshift_variant	0
Zm00001d022563	1	mu1034129	UFMu-03401	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022564	1	mu1092931	UFMu-13038	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022565	>=3	mu1014060|mu1018203|mu1022368|mu1041685|mu1042469|mu1057633|mu1062053|mu1070486|mu1084050|mu1087046	UFMu-01421|UFMu-01030,UFMu-06414|UFMu-04795,UFMu-05782,UFMu-06563,UFMu-09467,UFMu-11259|UFMu-04313|UFMu-05001|UFMu-07282|UFMu-12265,UFMu-13742|UFMu-01952,UFMu-02877,UFMu-03353,UFMu-04795,UFMu-05727|UFMu-09994|UFMu-11009	FALSE	mRNA	low	synonymous_variant	1-5
Zm00001d022566	1	mu1078403	UFMu-09082	FALSE	mRNA	non-syntenic	transcript_ablation	0
Zm00001d022573	>=3	mu1015987|mu1031364|mu1054186	UFMu-01665|UFMu-02682,UFMu-03446|UFMu-06554	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d022575	2	mu1049339|mu1087047	UFMu-06265|UFMu-10575	FALSE	mRNA	no_change	NA	5-10
Zm00001d022576	1	mu1078404	UFMu-09172	FALSE	mRNA	no_change	NA	1-5
Zm00001d022581	1	mu1081759	UFMu-09900	FALSE	mRNA	no_change	NA	5-10
Zm00001d022582	>=3	mu1029706|mu1039679|mu1045773|mu1088075|mu1095307	UFMu-03037,UFMu-03475,UFMu-03776,UFMu-05675|UFMu-03776,UFMu-05675|UFMu-05520|UFMu-10927|UFMu-11169	FALSE	mRNA	no_change	NA	10+
Zm00001d022584	>=3	mu1017147|mu1017147|mu1060802	UFMu-00693|UFMu-07808|UFMu-07715	FALSE	mRNA	no_change	NA	1-5
Zm00001d022585	>=3	mu1008430|mu1015990|mu1015991|mu1025427|mu1029142|mu1031949|mu1039680|mu1045774|mu1045775|mu1045776|mu1049340|mu1054188|mu1057634|mu1060803|mu1060803|mu1069783|mu1069784|mu1078406|mu1078407|mu1085125|mu1085125|mu1095308	UFMu-00329|UFMu-01252,UFMu-02888|UFMu-02309,UFMu-02554,UFMu-03161,UFMu-04769,UFMu-12185|UFMu-08432|UFMu-02996|UFMu-02861|UFMu-04198,UFMu-04293,UFMu-08151,UFMu-10551,UFMu-10858,UFMu-11177,UFMu-11801|UFMu-05392|UFMu-05788|UFMu-05788|UFMu-06406|UFMu-06879|UFMu-07461,UFMu-08183|UFMu-08016|UFMu-11263|UFMu-08622|UFMu-08803|UFMu-09088|UFMu-09389|UFMu-10186|UFMu-11200|UFMu-11215	FALSE	mRNA	no_change	NA	0
Zm00001d022586	>=3	mu1008430|mu1015990|mu1015991|mu1025427|mu1029142|mu1049340|mu1054188|mu1060803|mu1060803|mu1069783|mu1069784|mu1078407|mu1085125|mu1085125|mu1095308	UFMu-00329|UFMu-01252,UFMu-02888|UFMu-02309,UFMu-02554,UFMu-03161,UFMu-04769,UFMu-12185|UFMu-08432|UFMu-02996|UFMu-06406|UFMu-06879|UFMu-08016|UFMu-11263|UFMu-08622|UFMu-08803|UFMu-09389|UFMu-10186|UFMu-11200|UFMu-11215	FALSE	mRNA	modifier	intron_variant	1-5
Zm00001d022587	2	mu1021787|mu1060804	UFMu-01270|UFMu-07856	FALSE	mRNA	no_change	NA	0
Zm00001d022588	>=3	mu1003624|mu1039682|mu1060805|mu1084051	UFMu-00232,UFMu-01228|UFMu-02709|UFMu-07982|UFMu-10308	FALSE	mRNA	no_change	NA	10+
Zm00001d022590	>=3	mu1017356|mu1021211|mu1068344	UFMu-00774|UFMu-01259|UFMu-08280	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022594	>=3	mu1015994|mu1021953|mu1035231|mu1039683|mu1039683|mu1070487|mu1092935	UFMu-02201|UFMu-07312|UFMu-03299|UFMu-03450,UFMu-04968|UFMu-07250|UFMu-02845|UFMu-12975	FALSE	mRNA	no_change	NA	10+
Zm00001d022595	1	mu1049342	UFMu-06521	FALSE	mRNA	no_change	NA	10+
Zm00001d022596	1	mu1081760	UFMu-09468	FALSE	mRNA	modifier	intron_variant	1-5
Zm00001d022598	1	mu1075629	UFMu-05595,UFMu-09478,UFMu-10511	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022599	>=3	mu1049343|mu1057635|mu1068347|mu1079980|mu1085126	UFMu-05991|UFMu-07172|UFMu-08760|UFMu-08896|UFMu-10399	FALSE	mRNA	non-syntenic	missense_variant	5-10
Zm00001d022600	1	mu1078409	UFMu-09143	FALSE	mRNA	moderate	missense_variant	10+
Zm00001d022602	>=3	mu1015996|mu1054189|mu1068349|mu1078410	UFMu-02170|UFMu-06711|UFMu-08492|UFMu-08873	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d022603	>=3	mu1035401|mu1042466|mu1072969	UFMu-03443,UFMu-04198|UFMu-05123|UFMu-03443	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022604	2	mu1031767|mu1042465	UFMu-02693|UFMu-04979	FALSE	mRNA	moderate	disruptive_inframe_deletion	1-5
Zm00001d022613	2	mu1015998|mu1034240	UFMu-02682,UFMu-03446,UFMu-09430|UFMu-03241	TRUE	mRNA	moderate	missense_variant	0
Zm00001d022614	>=3	mu1015999|mu1069786|mu1092937|mu1092938	UFMu-01222|UFMu-08433|UFMu-12545|UFMu-11887	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d022615	>=3	mu1004721|mu1015999|mu1039685|mu1042462|mu1042463|mu1049348|mu1050799|mu1060807|mu1068351|mu1069786|mu1092937|mu1092938	UFMu-00399,UFMu-06735|UFMu-01222|UFMu-03934,UFMu-04588,UFMu-06212,UFMu-07136|UFMu-04833|UFMu-04948|UFMu-06413|UFMu-06413|UFMu-07768|UFMu-08710|UFMu-08433|UFMu-12545|UFMu-11887	FALSE	mRNA	high	stop_gained	5-10
Zm00001d022616	2	mu1060808|mu1095311	UFMu-08241|UFMu-12294	FALSE	mRNA	high	frameshift_variant	10+
Zm00001d022619	>=3	mu1049350|mu1054190|mu1079981	UFMu-06524,UFMu-08184,UFMu-11204|UFMu-06781|UFMu-08988	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022621	>=3	mu1016001|mu1019232|mu1060809|mu1084052|mu1085127|mu1095312	UFMu-01651|UFMu-01178|UFMu-08239|UFMu-10455|UFMu-10378|UFMu-11291	FALSE	mRNA	high	splice_acceptor_variant	5-10
Zm00001d022624	1	mu1016002	UFMu-01271	FALSE	mRNA	low	synonymous_variant	5-10
Zm00001d022626	2	mu1049352|mu1049353	UFMu-06217|UFMu-05970	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d022628	1	mu1057638	UFMu-07137	TRUE	mRNA	high	splice_donor_variant	10+
Zm00001d022629	2	mu1034694|mu1068353	UFMu-03429|UFMu-08299	FALSE	mRNA	modifier	intron_variant	0
Zm00001d022636	1	mu1027699	UFMu-05113	FALSE	mRNA	moderate	missense_variant	5-10
Zm00001d022637	1	mu1041687	UFMu-04613	FALSE	mRNA	no_change	NA	5-10
Zm00001d022643	1	mu1057639	UFMu-07303	FALSE	mRNA	modifier	3_prime_UTR_variant	0
Zm00001d022653	>=3	mu1007897|mu1013386|mu1085439	UFMu-00446|UFMu-03717|UFMu-10984	FALSE	lnc_RNA	modifier	intron_variant	0
Zm00001d022690	1	mu1044086	UFMu-05108	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022707	>=3	mu1076610|mu1076611|mu1085909	UFMu-09019|UFMu-09056|UFMu-10927,UFMu-12775	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022710	1	mu1089127	UFMu-11249	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022724	1	mu1058733	UFMu-07720	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022725	1	mu1076109	UFMu-09287	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022727	>=3	mu1069119|mu1069119|mu1080603	UFMu-08486|UFMu-11933|UFMu-09726	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d022733	1	mu1013705	UFMu-01449	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022738	>=3	mu1008917|mu1032598|mu1080611	UFMu-00317|UFMu-03075|UFMu-09479	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022739	2	mu1032598|mu1080611	UFMu-03075|UFMu-09479	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d022745	1	mu1089237	UFMu-12016	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022746	1	mu1058768	UFMu-08033	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022758	1	mu1055503	UFMu-07172	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022760	1	mu1082231	UFMu-09463	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022771	1	mu1082939	UFMu-10378	FALSE	lnc_RNA	high	splice_donor_variant	0
Zm00001d022784	>=3	mu1076169|mu1080650|mu1089328	UFMu-08925|UFMu-09478|UFMu-11612	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022821	1	mu1037034	UFMu-03969	FALSE	lnc_RNA	modifier	intron_variant	0
Zm00001d022829	1	mu1058404	UFMu-08196	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022836	1	mu1085359	UFMu-10792	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022851	>=3	mu1042784|mu1054985|mu1065618|mu1075316	UFMu-05297|UFMu-07497|UFMu-01005,UFMu-05767,UFMu-08757|UFMu-05692	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022856	1	mu1019527	UFMu-00948	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022857	1	mu1046280	UFMu-06428	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022872	>=3	mu1020158|mu1037085|mu1037085|mu1051546|mu1055010|mu1072461	UFMu-10841|UFMu-03449|UFMu-05771|UFMu-06718|UFMu-07134|UFMu-03449	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022874	1	mu1088653	UFMu-12991	FALSE	lnc_RNA	high	splice_acceptor_variant	0
Zm00001d022884	>=3	mu1037093|mu1046320|mu1051559	UFMu-03763|UFMu-06457|UFMu-06635	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022896	2	mu1084440|mu1088713	UFMu-10192|UFMu-13050	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022932	1	mu1051632	UFMu-06787,UFMu-08200	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022937	1	mu1040537	UFMu-04798	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d022953	2	mu1044059|mu1051658	UFMu-05293|UFMu-06540	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022970	>=3	mu1031022|mu1044047|mu1085516	UFMu-02864,UFMu-03298|UFMu-05329|UFMu-11097	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022977	>=3	mu1013513|mu1075974|mu1075975	UFMu-02298|UFMu-09142|UFMu-09255	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022978	>=3	mu1044033|mu1050321|mu1051702|mu1075990|mu1084475|mu1084476|mu1084477	UFMu-04869,UFMu-11121|UFMu-06524|UFMu-06894|UFMu-09346|UFMu-10376|UFMu-10378|UFMu-10402	FALSE	lnc_RNA	no_change	NA	0
Zm00001d022980	1	mu1037269	UFMu-03865	FALSE	lnc_RNA	non-syntenic	transcript_ablation	0
Zm00001d022985	2	mu1051733|mu1082837	UFMu-06757|UFMu-10010	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022991	1	mu1089005	UFMu-13803	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d022993	>=3	mu1044375|mu1085555|mu1085556	UFMu-05381|UFMu-10894|UFMu-10914	FALSE	lnc_RNA	no_change	NA	0
Zm00001d023007	1	mu1017578	UFMu-00767	FALSE	lnc_RNA	no_change	NA	0
Zm00001d023012	2	mu1080541|mu1089030	UFMu-09430|UFMu-11369	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d023017	2	mu1009113|mu1055242	UFMu-00274|UFMu-07580	FALSE	lnc_RNA	no_change	NA	0
Zm00001d023022	1	mu1082199	UFMu-09418	FALSE	lnc_RNA	low	splice_region_variant	0
Zm00001d023032	1	mu1076072	UFMu-08931	FALSE	lnc_RNA	modifier	intron_variant	0
Zm00001d023143	1	mu1076430	UFMu-09304	FALSE	lnc_RNA	no_change	NA	0
Zm00001d023145	2	mu1066374|mu1084613	UFMu-08678|UFMu-10404	FALSE	lnc_RNA	non-syntenic	splice_region_variant	0
Zm00001d023173	2	mu1044531|mu1072184	UFMu-05783|UFMu-02227	FALSE	lnc_RNA	non-syntenic	NA	0
Zm00001d023195	1	mu1080715	UFMu-09476	FALSE	lnc_RNA	no_change	NA	0
Zm00001d023200	1	mu1089543	UFMu-12221	FALSE	lnc_RNA	modifier	non_coding_transcript_exon_variant	0
Zm00001d023217	>=3	mu1051413|mu1051956|mu1054187	UFMu-06508|UFMu-06709|UFMu-06869	FALSE	mRNA	high	stop_gained	5-10
Zm00001d023218	>=3	mu1046830|mu1046831|mu1046832|mu1046833|mu1046834|mu1055467|mu1069145|mu1082963|mu1089373	UFMu-06266|UFMu-06466,UFMu-06689,UFMu-07176|UFMu-06466,UFMu-06689|UFMu-06522|UFMu-06346|UFMu-07567|UFMu-08623|UFMu-10539|UFMu-11263	FALSE	mRNA	high	splice_donor_variant	5-10
Zm00001d023220	>=3	mu1017685|mu1069146|mu1089379	UFMu-00758|UFMu-08580|UFMu-11204	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d023222	1	mu1029201	UFMu-02846	FALSE	mRNA	high	splice_acceptor_variant	1-5
Zm00001d023226	>=3	mu1019391|mu1019391|mu1035278	UFMu-00626|UFMu-07756|UFMu-03088	FALSE	mRNA	non-syntenic	missense_variant	0
Zm00001d023228	1	mu1076235	UFMu-09400	FALSE	mRNA	moderate	missense_variant	1-5
Zm00001d023229	2	mu1076245|mu1079268	UFMu-09292|UFMu-09012	FALSE	mRNA	moderate	missense_variant	0
Zm00001d023230	>=3	mu1031566|mu1035486|mu1089508	UFMu-02484,UFMu-04176,UFMu-07862|UFMu-03314|UFMu-11265	FALSE	mRNA	low	splice_region_variant	1-5
Zm00001d023235	2	mu1040745|mu1089577	UFMu-04548|UFMu-12968	FALSE	mRNA	high	frameshift_variant	1-5
Zm00001d023237	>=3	mu1013005|mu1013005|mu1070864	UFMu-02206|UFMu-06466,UFMu-06535|UFMu-02709	FALSE	mRNA	low	synonymous_variant	0
Zm00001d023238	1	mu1044583	UFMu-05692	FALSE	mRNA	high	stop_lost	1-5
